null,c0,c5,c25
-5997.205328,-5997.205328,-5997.367496,-5997.367496
-5874.008449,-5874.008449,-5874.906506,-5874.906506
-5925.068734,-5925.068734,-5925.851286,-5927.523265
-5957.628054,-5957.628054,-5957.681800,-5957.681822
-5890.605871,-5890.513570,-5891.627816,-5893.770968
-5899.538778,-5899.538778,-5901.085180,-5902.368990
-5909.034322,-5909.034322,-5910.062484,-5912.018008
-5918.356119,-5918.310205,-5919.084133,-5920.207267
-5968.166506,-5968.166506,-5969.848772,-5975.118905
-5947.230318,-5947.230318,-5948.767485,-5951.178332
-5978.439413,-5978.380109,-5979.023505,-5979.023505
-6141.044640,-6141.044640,-6142.394918,-6144.462471
-6049.841812,-6049.841812,-6050.959658,-6056.491414
-5996.956570,-5993.970097,-5995.914942,-5995.914942
-5900.163458,-5898.502403,-5901.816886,-5904.651709
-5850.056856,-5848.450525,-5850.749214,-5850.075585
-5943.533498,-5943.533498,-5944.833723,-5945.882345
-5876.063021,-5875.824618,-5876.470854,-5877.152600
-5957.752850,-5956.828873,-5958.387900,-5958.387900
-6078.943705,-6078.943705,-6079.262105,-6080.937443
-6061.016064,-6059.761326,-6062.711479,-6066.518273
-5764.744830,-5764.744830,-5766.671163,-5768.623281
-6010.640076,-6010.603213,-6010.795565,-6010.835048
-5793.090468,-5793.090468,-5794.441655,-5797.184948
-5988.899720,-5988.899720,-5989.979686,-5992.872939
-5890.764476,-5890.744088,-5891.653416,-5893.186713
-5922.264647,-5922.264647,-5924.635246,-5924.635246
-5899.841599,-5899.727146,-5900.186148,-5901.969216
-6062.103891,-6062.103891,-6063.104979,-6063.104979
-6092.415891,-6091.968022,-6094.064055,-6095.145630
-5947.454254,-5947.454254,-5949.791726,-5950.784528
-5977.281001,-5977.281001,-5977.468550,-5978.146198
-5962.812914,-5962.812914,-5963.494656,-5964.197067
-5961.785413,-5960.438111,-5962.403502,-5961.876387
-5827.075427,-5826.849718,-5827.113018,-5827.113018
-5944.705819,-5943.910943,-5946.028335,-5945.362892
-5951.576170,-5951.515659,-5952.285432,-5954.283904
-5997.087087,-5997.087087,-5999.242768,-6001.239546
-6015.470215,-6015.167897,-6015.384627,-6015.384627
-6068.116854,-6068.116854,-6070.588218,-6075.322041
-5920.815004,-5920.815004,-5921.257445,-5922.416761
-6070.563068,-6070.563068,-6071.259033,-6072.791291
-6051.290118,-6051.290118,-6051.626329,-6051.982436
-5923.926017,-5923.926017,-5924.116014,-5924.443762
-5963.350443,-5963.350443,-5963.849075,-5964.562224
-6006.424677,-6002.858887,-6007.337103,-6010.701374
-5996.369677,-5996.369677,-5998.003626,-6000.634675
-5973.103511,-5973.103511,-5974.285842,-5974.285842
-6052.362602,-6052.362602,-6052.649019,-6053.884904
-6031.389848,-6030.667465,-6031.667688,-6033.830523
-6035.269488,-6035.210950,-6036.106361,-6037.183411
-6088.885525,-6088.885525,-6090.304809,-6092.736581
-5962.085127,-5961.918352,-5963.019505,-5965.742361
-6182.151033,-6182.151033,-6182.750672,-6184.125417
-5971.736410,-5971.346532,-5971.962932,-5972.175921
-6020.290488,-6020.290488,-6021.252237,-6023.136478
-6056.107779,-6056.107779,-6057.708278,-6061.420738
-5899.959492,-5899.959492,-5902.137641,-5907.244301
-5839.662502,-5839.662502,-5840.924375,-5843.477528
-5907.416226,-5907.416226,-5907.609659,-5908.189320
-5865.073177,-5865.073177,-5866.549064,-5869.940131
-5864.351427,-5863.660246,-5865.414997,-5866.874767
-6024.467804,-6024.467523,-6025.225508,-6027.552161
-5817.075634,-5817.075634,-5819.310075,-5821.612645
-5965.837593,-5965.837593,-5967.238418,-5969.433523
-5917.452097,-5917.452097,-5920.528451,-5922.099907
-5931.927316,-5931.927316,-5933.698109,-5935.327007
-6038.771369,-6038.771369,-6040.276896,-6043.579064
-6055.394710,-6055.394710,-6056.265931,-6058.541292
-6032.004443,-6032.004443,-6033.870358,-6037.889778
-6064.213558,-6063.811343,-6064.114152,-6064.114152
-6011.745734,-6011.745734,-6012.783471,-6015.161681
-6005.511913,-6005.424749,-6005.511913,-6005.511913
-5958.826658,-5958.826658,-5961.253724,-5966.229988
-6039.383987,-6039.383987,-6041.063255,-6041.063255
-6006.990505,-6006.990505,-6007.679015,-6009.803444
-6034.747866,-6034.747866,-6036.111981,-6036.111981
-5959.564954,-5959.564954,-5960.003020,-5961.180347
-6037.750665,-6036.191236,-6037.198995,-6038.950836
-5978.686362,-5978.686362,-5979.976029,-5983.126867
-6010.465307,-6009.749339,-6009.749339,-6009.749339
-5875.191080,-5875.191080,-5877.488111,-5881.754784
-5893.962459,-5893.962459,-5895.555691,-5895.555691
-5985.148733,-5985.148733,-5986.227433,-5988.388284
-6003.084849,-6002.912111,-6004.079676,-6004.371956
-6050.292971,-6050.292971,-6051.695943,-6055.209710
-5986.728793,-5986.728793,-5987.198911,-5989.030549
-5983.364594,-5983.364595,-5985.002440,-5988.590609
-5910.827586,-5910.517471,-5911.417657,-5912.308373
-5896.424373,-5896.424373,-5898.514864,-5902.194553
-6005.739451,-6005.739451,-6006.052615,-6007.555862
-5990.216136,-5990.216136,-5990.216136,-5990.216136
-6060.685785,-6058.664869,-6060.497551,-6060.497551
-6008.708240,-6008.708240,-6010.025265,-6011.208080
-5995.551345,-5995.551345,-5997.706872,-5997.706872
-6028.543877,-6028.543877,-6030.970957,-6030.970957
-5912.058323,-5912.058323,-5913.773089,-5916.725275
-5896.886480,-5896.881318,-5897.302482,-5899.104460
-5907.391870,-5907.391870,-5908.189873,-5910.340281
-6048.969409,-6048.652457,-6049.320165,-6049.508955
-6023.692570,-6023.692570,-6024.876974,-6023.012906
-5967.679268,-5967.679268,-5968.362446,-5970.829172
-5981.720424,-5981.649082,-5981.813405,-5982.164242
-6090.627123,-6090.508156,-6090.851684,-6091.690264
-5900.076481,-5900.076481,-5900.426678,-5900.426678
-5873.830566,-5873.601199,-5873.977266,-5873.977266
-5995.163239,-5995.105904,-5993.657162,-5993.657163
-5973.418487,-5973.418487,-5973.788333,-5973.788333
-6043.324736,-6042.719535,-6042.719535,-6042.719535
-6159.537253,-6159.537253,-6162.036694,-6163.396447
-6003.413757,-6003.413757,-6005.558511,-6009.060401
-5989.971988,-5989.971988,-5992.415794,-5994.378160
-6011.981703,-6011.981703,-6014.202608,-6016.002384
-5903.028748,-5903.028748,-5905.583634,-5908.129989
-5880.022174,-5879.778584,-5880.688112,-5882.160402
-6001.461872,-6001.461872,-6003.358051,-6008.045378
-6043.867749,-6043.867749,-6045.370489,-6048.094553
-5941.438067,-5941.438067,-5941.717500,-5942.736276
-6025.046605,-6025.046605,-6027.437986,-6029.449180
-5994.668661,-5994.668556,-5995.280660,-5996.827192
-5956.035664,-5956.035664,-5957.375741,-5960.885069
-5978.483056,-5977.870771,-5978.606510,-5979.446798
-5930.665803,-5930.664913,-5931.070935,-5931.946873
-5926.282995,-5926.282995,-5928.100491,-5928.872908
-5991.941429,-5991.941429,-5993.519516,-5994.110511
-5919.267171,-5919.271673,-5919.271673,-5919.271673
-5948.985076,-5948.985076,-5949.420162,-5949.595623
-6062.875882,-6061.174320,-6061.977420,-6064.864057
-5881.046597,-5881.046597,-5882.332791,-5885.390633
-6066.538086,-6066.125889,-6067.290436,-6067.463690
-6027.088937,-6027.088937,-6028.739502,-6028.739502
-5998.395562,-5998.439355,-5998.707336,-5999.210115
-6052.639155,-6052.635125,-6052.787586,-6052.787586
-6001.241916,-6000.274218,-6001.406675,-6003.165546
-5896.378194,-5896.378194,-5899.339977,-5902.500310
-5958.665011,-5958.665011,-5960.737821,-5961.607805
-6011.104316,-6011.103665,-6012.032051,-6014.442090
-5930.090261,-5930.090261,-5930.669404,-5931.921142
-6039.625230,-6039.625230,-6039.389290,-6039.389289
-5935.716474,-5935.716474,-5936.194897,-5937.394550
-5979.702496,-5979.702496,-5982.178653,-5985.905953
-5989.836375,-5989.836375,-5989.962442,-5990.304336
-6077.872241,-6077.322478,-6078.037736,-6078.037736
-6033.975538,-6033.765688,-6034.139966,-6034.285164
-5952.073233,-5952.050305,-5952.899120,-5954.785009
-6022.754166,-6022.754166,-6023.360286,-6025.439141
-6055.509948,-6055.068125,-6055.876977,-6057.012533
-5912.368223,-5912.368223,-5913.039395,-5914.488423
-5987.872591,-5987.872591,-5988.014838,-5988.247338
-5986.404084,-5986.404084,-5986.547886,-5986.547886
-5948.880182,-5948.841540,-5950.087058,-5951.420436
-5960.754211,-5960.539220,-5961.514262,-5962.481800
-5985.826423,-5985.826423,-5986.709229,-5988.169192
-5873.384703,-5873.364463,-5873.436767,-5873.436767
-5926.416360,-5926.416360,-5927.288885,-5929.302135
-6130.044692,-6130.044692,-6130.773600,-6131.891788
-5981.608502,-5981.608502,-5982.634564,-5984.557014
-5999.002509,-5998.184587,-5999.427970,-5999.427970
-5900.886583,-5900.700904,-5901.421877,-5902.874031
-5972.439747,-5972.439747,-5974.719448,-5976.262359
-5868.036826,-5868.005165,-5868.190890,-5868.810076
-5816.704497,-5816.335474,-5817.425242,-5819.504446
-5958.174148,-5958.174148,-5959.944976,-5959.944976
-5850.097288,-5850.097288,-5851.054499,-5854.078291
-5962.832366,-5962.832366,-5964.481075,-5966.378322
-5963.030543,-5963.030543,-5963.962851,-5969.788164
-5827.132558,-5827.132558,-5827.644888,-5829.080688
-5933.623459,-5933.623415,-5933.923876,-5934.968094
-5912.699168,-5912.699168,-5913.081524,-5913.862637
-5884.579091,-5884.579091,-5885.875082,-5885.875082
-5916.001525,-5916.001525,-5917.037687,-5919.464442
-5994.309132,-5994.309132,-5994.330851,-5994.330851
-6149.983498,-6149.983498,-6151.171476,-6151.486582
-6054.899524,-6054.874376,-6055.149175,-6055.539150
-5945.375558,-5944.477184,-5945.942897,-5947.023338
-6069.332040,-6069.332040,-6072.227250,-6076.573544
-5927.746933,-5927.746933,-5928.799140,-5932.436723
-6024.581405,-6024.581338,-6025.611245,-6026.562688
-5899.871064,-5899.871064,-5901.670208,-5904.176486
-5984.459158,-5984.459158,-5984.604388,-5984.725088
-5921.081699,-5921.081699,-5922.039300,-5924.801367
-6022.027484,-6021.521124,-6023.216212,-6025.939183
-5933.133529,-5932.919731,-5933.101160,-5933.101160
-5887.862612,-5887.862612,-5889.155853,-5891.568597
-5961.538536,-5961.360640,-5962.460669,-5962.460669
-5932.122702,-5932.122702,-5933.378692,-5933.378692
-6042.590422,-6042.339433,-6043.154152,-6045.160136
-5984.527559,-5984.527559,-5986.091240,-5988.327236
-5996.700523,-5995.881770,-5997.170443,-5997.183049
-6006.589772,-6006.589772,-6007.980169,-6009.879714
-5997.922539,-5996.951653,-5998.260077,-5998.260077
-5907.619792,-5907.619792,-5907.921180,-5909.414091
-5988.442385,-5988.442385,-5988.728903,-5988.728903
-6068.741099,-6068.741099,-6069.622503,-6071.560418
-6000.729766,-6000.729766,-6002.161836,-6004.849019
