null,c0
-98606.203582,-98606.203582
-98670.634812,-98670.634812
-99399.322043,-99399.322043
-98311.225812,-98310.406789
-99584.647405,-99583.506438
-99458.117765,-99456.833615
-98500.127380,-98500.127380
-97944.920642,-97944.665276
-98871.118328,-98871.077618
-99132.765057,-99132.765057
-99171.251279,-99171.251279
-99627.699085,-99627.699085
-99588.863288,-99588.718068
-98684.617942,-98684.617942
-99357.311507,-99357.123355
-99882.914618,-99882.914618
-99998.291208,-99998.291208
-98174.927785,-98174.927785
-99453.493114,-99453.493114
-99104.644085,-99104.644085
-98574.073669,-98574.067900
-98974.227529,-98974.227529
-99532.045630,-99529.934478
-99530.078340,-99530.064505
-99417.298846,-99416.949200
-99144.781505,-99142.868058
-99562.815582,-99562.062133
-98199.517640,-98199.517640
-98698.961868,-98698.724153
-99387.661345,-99387.341895
-98807.646708,-98807.463263
-99152.247732,-99152.139823
-99160.106330,-99159.914724
-98501.118917,-98500.796227
-100516.208435,-100516.098006
-98200.560881,-98200.560881
-98830.025586,-98830.025586
-99408.229332,-99407.520534
-99267.701005,-99267.764764
-98444.144587,-98444.144587
-98861.696776,-98860.442769
-99046.846322,-99046.846322
-98834.655418,-98834.655418
-99012.457348,-99012.445686
-98397.105971,-98397.105971
-98668.098189,-98667.750471
-99812.545525,-99812.545525
-99220.718922,-99220.718922
-98566.955855,-98566.938099
-98536.169390,-98536.169390
-98630.877186,-98630.876956
-99539.619172,-99539.059430
-98639.234000,-98639.234000
-99283.226190,-99282.468656
-99463.549397,-99463.321463
-98900.616756,-98900.003675
-99788.684095,-99788.683821
-99251.071512,-99251.071512
-98629.596018,-98629.596018
-98560.809977,-98560.809977
-99007.087302,-99006.158631
-98061.113691,-98060.084042
-98888.506626,-98884.580211
-98881.065436,-98879.817543
-99505.842711,-99505.843014
-98101.214648,-98101.214648
-99210.934487,-99210.934487
-99703.973584,-99703.973584
-99252.084096,-99252.084096
-99494.747827,-99494.747827
-98316.311508,-98316.311508
-99609.030136,-99609.009191
-99683.402689,-99683.402689
-98700.798468,-98700.798468
-99075.758982,-99074.814638
-99932.920555,-99932.904924
-99373.614517,-99372.379416
-98541.237180,-98540.434956
-98305.896823,-98305.892865
-98507.813969,-98507.813969
-99056.876372,-99056.876372
-99383.461988,-99383.461988
-98855.670556,-98855.670556
-98898.368998,-98898.030444
-98496.649827,-98494.860719
-99805.778691,-99805.778691
-100142.456316,-100142.456316
-98997.378791,-98997.378791
-99664.897117,-99664.897117
-98853.223085,-98853.223085
-99809.451850,-99809.451850
-99476.996723,-99476.996723
-99005.745445,-99005.405322
-99437.850603,-99437.557553
-98428.431761,-98428.431761
-98980.723640,-98980.723640
-98957.925417,-98957.451388
-98909.320233,-98909.086037
-99748.395286,-99748.004937
-98557.026802,-98556.886594
-98311.304911,-98311.304911
-98846.967682,-98846.967682
-98827.707206,-98827.707206
-99311.822414,-99311.779763
-98824.122983,-98824.122983
-97920.451083,-97919.961206
-98278.359510,-98278.359510
-99492.760631,-99492.760631
-99709.064397,-99707.761198
-99842.359146,-99842.359146
-99203.865374,-99203.643969
-100089.651010,-100089.209164
-100340.702629,-100340.621451
-99309.486243,-99309.486236
-98573.879344,-98573.879499
-99309.888945,-99309.448039
-98594.436199,-98594.436199
-99012.998084,-99012.998084
-99338.281601,-99338.281601
-99788.309626,-99788.309626
-98810.604782,-98810.604744
-98632.759513,-98632.759513
-98974.070977,-98974.070977
-99119.824274,-99119.824274
-98765.483753,-98765.461981
-99091.880069,-99087.235553
-98428.207951,-98427.914163
-98798.534455,-98798.473116
-99695.274996,-99695.274996
-98764.018507,-98763.975427
-98605.963788,-98605.961537
-99398.060673,-99397.677899
-99260.721803,-99260.721803
-98584.489938,-98584.371067
-99771.703216,-99771.389610
-99132.978695,-99132.978695
-99784.035713,-99784.035712
-99213.856946,-99213.856946
-98895.520926,-98895.231655
-99074.993731,-99074.989262
-98875.290234,-98875.069745
-98643.592625,-98639.876526
-98676.042692,-98676.042692
-99825.246135,-99825.246135
-99808.584852,-99808.584852
-100857.258695,-100857.258695
-98914.459798,-98914.330925
-99169.799349,-99169.799349
-98237.813793,-98237.386797
-99307.850060,-99307.850060
-99154.751683,-99154.751683
-99003.419623,-99003.419623
-99387.497404,-99387.497404
-100029.702741,-100029.702741
-98549.726707,-98549.721095
-99730.444437,-99730.443388
-99541.682025,-99540.645994
-99092.089525,-99091.761755
-99570.077318,-99570.077318
-98604.335294,-98604.335294
-98261.293859,-98261.293363
-99377.458895,-99377.458722
-99065.883858,-99064.696534
-100568.548746,-100568.355263
-99727.728323,-99727.728323
-98122.309395,-98122.292966
-100151.315287,-100151.304725
-99012.713184,-99011.695105
-99345.942042,-99345.984796
-99340.563118,-99340.563118
-98716.972509,-98716.971695
-98927.159456,-98927.159456
-98865.304386,-98865.182993
-98438.236305,-98438.236305
-99913.929340,-99913.695728
-98666.731459,-98666.716973
-98754.910699,-98754.910699
-99201.800268,-99201.800268
-98698.119405,-98698.119405
-98641.600979,-98641.601011
-98878.592989,-98878.592989
-99040.131014,-99038.743237
-99098.101975,-99098.082516
-99899.156601,-99899.153801
-98988.044937,-98988.044937
-97946.677342,-97945.692329
-99162.256892,-99162.256892
-99631.187353,-99630.830135
-99472.726966,-99472.469041
-99252.069728,-99252.069728
-99129.929398,-99129.927716
-98857.620097,-98857.007834
-98021.457455,-98021.457455
-98954.575957,-98954.575957
-98795.620204,-98795.556247
-99156.034389,-99156.034389
-99506.379649,-99506.379649
-99519.953493,-99518.470816
-98796.037085,-98796.035096
-98649.170805,-98649.170805
-98996.074631,-98996.054096
-99961.339713,-99961.038901
-98886.782007,-98886.782007
-98966.545152,-98966.393199
-98945.578974,-98944.704004
-99847.367923,-99845.972398
-98410.314929,-98410.272454
-99742.835189,-99742.835189
-99589.287197,-99588.995770
-99024.098587,-99024.098587
-98865.811732,-98864.534128
-98594.554266,-98594.554266
-98367.193041,-98367.193041
-99092.613051,-99091.952015
-99240.872330,-99240.872330
-99583.430203,-99582.233989
-98194.163741,-98194.152570
-98600.919391,-98600.436901
-99214.643654,-99214.549684
-99363.438560,-99363.438560
-98909.447111,-98908.790562
-99255.118243,-99255.058639
-99214.432207,-99210.834781
-99547.976686,-99547.874828
-99355.085516,-99353.937532
-99096.804679,-99096.513039
-99316.888058,-99316.888058
-99008.585986,-99008.533328
-98803.052613,-98801.315866
-98383.027471,-98383.027472
-98740.273662,-98740.273662
-99005.918223,-99005.918223
-99021.411036,-99021.263791
-100236.274882,-100235.789210
-98738.970949,-98738.944849
-99026.663652,-99026.663652
-99826.598466,-99825.796570
-99173.172482,-99173.157024
-99540.163567,-99540.163567
-99248.164377,-99245.871938
-100935.575462,-100935.550518
-99747.348144,-99747.348144
-99411.606904,-99411.600461
-99061.356376,-99061.356376
-99216.496577,-99216.496577
-98508.568981,-98508.568981
-99317.190123,-99317.190123
-98941.046259,-98941.030845
-98881.787820,-98881.787820
-98353.621656,-98353.621656
-99040.469082,-99040.469082
-98693.869425,-98693.869425
-99490.992108,-99490.979777
-99615.840825,-99615.840825
-100173.403215,-100173.403215
-99844.174732,-99843.418589
-99355.918696,-99355.220276
-98736.115528,-98736.115222
-100569.322236,-100567.979630
-98951.755125,-98951.755124
-98444.849610,-98444.849610
-98865.002214,-98864.664775
-98812.531640,-98812.531640
-98945.470139,-98945.470139
-99555.769509,-99555.605309
-99176.908733,-99176.908171
-98611.331443,-98611.324909
-99787.879897,-99787.028676
-98415.854537,-98414.425821
-98845.015360,-98845.015360
-97018.447292,-97018.444478
-99114.825679,-99114.811922
-98998.004785,-98998.004785
-99896.463719,-99896.463719
-98797.678835,-98796.912788
-98985.092462,-98985.077275
-99050.579391,-99050.279783
-98567.180717,-98566.377526
-98682.882772,-98682.606815
-98045.692255,-98045.656662
-98442.920091,-98442.006716
-98941.009284,-98941.009284
-98546.779816,-98545.108444
-99914.642231,-99914.642231
-98420.941316,-98420.890547
-99486.429771,-99486.149586
-98685.572534,-98685.572534
-98052.172707,-98052.172707
-98238.037487,-98236.901940
-98959.044314,-98957.377588
-98339.250437,-98339.250437
-98510.565139,-98510.565139
-98665.488637,-98665.432330
-99207.954622,-99207.954622
-99397.919829,-99397.721947
-98806.814050,-98806.814050
-100493.813683,-100493.602861
-99224.616419,-99224.616419
-98842.688937,-98842.578873
-98494.889690,-98494.889690
-98470.363038,-98470.363038
-99996.130205,-99996.130205
-99538.678282,-99538.646134
-98515.031277,-98514.931879
-99366.526651,-99366.058050
-98711.561996,-98710.039246
-97761.022810,-97760.854812
-98594.270711,-98593.239568
-98081.990132,-98079.603727
-98915.669106,-98915.669106
-98766.392556,-98766.392556
-99041.423876,-99041.423876
-99029.421966,-99029.274118
-97916.219360,-97916.201204
-99331.542666,-99331.542666
-98747.495025,-98747.332548
-99204.229056,-99204.136384
-100444.166064,-100444.068374
-98815.753339,-98815.753339
-98149.122231,-98148.824737
-98938.421955,-98938.421955
-100297.144950,-100297.144950
-99524.454161,-99523.264474
-98809.039539,-98808.552142
-99471.492133,-99471.492133
-99504.337681,-99504.028319
-99242.010549,-99242.010549
-98990.918029,-98990.831073
-98648.996195,-98648.996195
